Study Number,Sample ID,Product Type,Base Ingredient,Process Type,Sample Age (Weeks),Difference From Fresh,Storage Conditions,Packaging Stabilizer Added,Transparent Window in Package,Processing Agent Stability Index,Preservative Added,Moisture (%),Residual Oxygen (%),Hexanal (ppm)
1310881,1310881-1,H,A,C,31,20.0,,,,16.20,,,,
1310893,1310893-1,H,A,C,0,0.0,,,,16.00,,1.17,3.81,
1310893,1310893-1,H,A,C,7,0.0,,,,16.00,,1.48,5.60,
1310893,1310893-1,H,A,C,9,0.0,,,,16.00,,1.65,6.77,
1310893,1310893-1,H,A,C,11,13.0,,,,16.00,,1.78,8.85,
1310893,1310893-1,H,A,C,13,0.0,,,,16.00,,1.92,12.35,
1310893,1310893-1,H,A,C,15,0.0,,,,16.00,,1.29,9.90,
1310893,1310893-1,H,A,C,17,0.0,,,,16.00,,2.27,10.88,
1310893,1310893-1,H,A,C,19,4.0,,,,16.00,,2.37,14.30,
1310893,1310893-1,H,A,C,22,9.0,,,,16.00,,2.46,12.73,
1310893,1310893-1,H,A,C,24,8.0,,,,16.00,,2.78,20.36,
1310893,1310893-1,H,A,C,26,9.0,,,,16.00,,2.79,12.91,
1310893,1310893-1,H,A,C,31,22.0,,,,16.00,,3.41,20.28,
1310893,1310893-2,H,A,C,0,0.0,,,,16.00,,1.22,6.33,
1310893,1310893-2,H,A,C,7,3.0,,,,16.00,,1.24,8.64,
1310893,1310893-2,H,A,C,9,0.0,,,,16.00,,1.20,4.56,
1310893,1310893-2,H,A,C,11,0.0,,,,16.00,,1.23,2.89,
1310893,1310893-2,H,A,C,13,0.0,,,,16.00,,1.23,3.40,
1310893,1310893-2,H,A,C,15,0.0,,,,16.00,,2.04,5.35,
1310893,1310893-2,H,A,C,17,0.0,,,,16.00,,1.33,3.35,
1310893,1310893-2,H,A,C,19,4.0,,,,16.00,,1.29,4.09,
1310893,1310893-2,H,A,C,22,15.0,,,,16.00,,1.31,3.99,
1310893,1310893-2,H,A,C,24,17.0,,,,16.00,,1.74,13.04,
1310893,1310893-2,H,A,C,26,14.0,,,,16.00,,1.40,6.63,
1310893,1310893-2,H,A,C,31,14.0,,,,16.00,,1.47,6.24,
1310957,1310957-1,E,C,C,0,0.0,Warm Climate,Y,N,8.50,N,,,
1310957,1310957-1,E,C,C,5,5.0,Warm Climate,Y,N,8.50,N,2.19,4.78,0.64
1310957,1310957-1,E,C,C,9,2.0,Warm Climate,Y,N,8.50,N,2.20,5.44,0.23
1310957,1310957-1,E,C,C,10,4.0,Warm Climate,Y,N,8.50,N,2.10,4.81,0.12
1411014,1411014-1,C,A,B,0,0.0,,,,16.00,,,,
1411014,1411014-1,C,A,B,14,34.0,,,,16.00,,,,
1411014,1411014-1,C,A,B,16,23.0,,,,16.00,,,,
1411032,1411032-1,H,A,C,0,0.0,,,,16.00,,,,
1411032,1411032-1,H,A,C,12,9.0,,,,16.00,,1.41,15.79,0.60
1411032,1411032-1,H,A,C,16,20.0,,,,16.00,,1.51,17.48,0.92
1411084,1411084-1,E,C,C,0,0.0,Warm Climate,Y,N,8.50,N,,,
1411084,1411084-1,E,C,C,12,10.0,Warm Climate,Y,N,8.50,N,2.07,9.65,0.37
1411084,1411084-1,E,C,C,14,0.0,Warm Climate,Y,N,8.50,N,2.00,5.46,
1411084,1411084-2,E,C,C,0,0.0,Warm Climate,Y,N,18.00,N,,,
1411084,1411084-2,E,C,C,12,5.0,Warm Climate,Y,N,18.00,N,2.39,10.53,0.54
1411084,1411084-2,E,C,C,14,23.0,Warm Climate,Y,N,18.00,N,2.06,8.16,0.79
1411145,1411145-1,F,B,C,0,0.0,,Y,,16.00,,1.81,6.32,
1411145,1411145-1,F,B,C,2,9.0,,Y,,16.00,,1.71,9.04,
1411145,1411145-1,F,B,C,4,0.0,,Y,,16.00,,1.73,4.64,
1411145,1411145-1,F,B,C,6,0.0,,Y,,16.00,,1.86,4.48,
1411145,1411145-1,F,B,C,8,12.0,,Y,,16.00,,1.90,5.28,
1411145,1411145-1,F,B,C,10,16.0,,Y,,16.00,,1.87,6.91,
1411145,1411145-1,F,B,C,11,0.0,,Y,,16.00,,1.76,7.29,
1411145,1411145-1,F,B,C,12,0.0,,Y,,16.00,,1.74,10.57,
1411145,1411145-1,F,B,C,14,0.0,,Y,,16.00,,1.68,7.32,
1411145,1411145-1,F,B,C,16,7.0,,Y,,16.00,,1.84,7.53,
1411145,1411145-1,F,B,C,18,11.0,,Y,,16.00,,1.78,7.21,
1411145,1411145-1,F,B,C,20,5.0,,Y,,16.00,,,,
1411193,1411193-1,F,B,C,0,0.0,,Y,,16.00,,2.24,4.27,
1411193,1411193-1,F,B,C,2,28.0,,Y,,16.00,,2.36,5.21,
1411193,1411193-1,F,B,C,4,0.0,,Y,,16.00,,2.33,10.99,
1411193,1411193-1,F,B,C,6,15.0,,Y,,16.00,,2.36,8.84,
1411193,1411193-1,F,B,C,8,15.0,,Y,,16.00,,2.63,4.77,
1411193,1411193-1,F,B,C,10,4.0,,Y,,16.00,,2.67,5.87,
1411193,1411193-1,F,B,C,16,0.0,,Y,,16.00,,2.64,5.47,
1411193,1411193-1,F,B,C,18,0.0,,Y,,16.00,,2.50,5.90,
1411193,1411193-1,F,B,C,20,4.0,,Y,,16.00,,,,
1411193,1411193-2,F,B,C,0,0.0,,Y,,16.00,,,,
1411193,1411193-2,F,B,C,11,0.0,,Y,,16.00,,2.44,6.89,
1411193,1411193-2,F,B,C,12,0.0,,Y,,16.00,,2.45,5.90,
1411193,1411193-2,F,B,C,14,10.0,,Y,,16.00,,2.50,6.27,
1411253,1411253-1,H,A,C,0,0.0,Warm Climate,,,16.20,,,,
1411253,1411253-1,H,A,C,12,5.0,Warm Climate,,,16.20,,1.43,13.19,
1411253,1411253-1,H,A,C,18,20.0,Warm Climate,,,16.20,,1.69,12.45,
1411465,1411465-1,E,C,C,0,0.0,,,,16.00,,1.57,3.90,
1411465,1411465-1,E,C,C,6,7.0,,,,16.00,,1.66,3.03,0.10
1411465,1411465-1,E,C,C,14,16.0,,,,16.00,,1.64,5.79,0.17
1411465,1411465-1,E,C,C,16,16.0,,,,16.00,,1.61,7.12,0.22
1411647,1411647-1,B,,A,0,0.0,,,,16.00,,2.13,,0.34
1411647,1411647-1,B,,A,4,0.0,,,,16.00,,2.10,,0.40
1411647,1411647-1,B,,A,12,3.0,,,,16.00,,2.10,,0.52
1411647,1411647-1,B,,A,16,2.0,,,,16.00,,2.11,,0.58
1411647,1411647-1,B,,A,20,0.0,,,,16.00,,2.15,,0.60
1411647,1411647-1,B,,A,24,0.0,,,,16.00,,2.23,,0.62
1411647,1411647-1,B,,A,26,0.0,,,,16.00,,2.27,,0.67
1411647,1411647-1,B,,A,30,0.0,,,,16.00,,2.30,,0.68
1411697,1411697-1,A,D,A,0,0.0,Warm Climate,N,N,16.00,N,,,
1411697,1411697-1,A,D,A,2,0.0,Warm Climate,N,N,16.00,N,1.50,20.07,
1411697,1411697-1,A,D,A,10,2.0,Warm Climate,N,N,16.00,N,1.72,20.04,
1411697,1411697-1,A,D,A,14,6.0,Warm Climate,N,N,16.00,N,1.81,20.97,
1411697,1411697-1,A,D,A,18,2.0,Warm Climate,N,N,16.00,N,1.93,20.80,
1411697,1411697-1,A,D,A,20,0.0,Warm Climate,N,N,16.00,N,2.46,20.73,
1411697,1411697-1,A,D,A,22,5.0,Warm Climate,N,N,16.00,N,1.97,20.71,
1411697,1411697-1,A,D,A,24,4.0,Warm Climate,N,N,16.00,N,2.11,20.68,
1411697,1411697-1,A,D,A,26,13.0,Warm Climate,N,N,16.00,N,2.24,20.66,
1411761,1411761-1,G,,A,0,0.0,,,,16.00,,1.53,17.40,
1411761,1411761-1,G,,A,6,0.0,,,,16.00,,1.60,20.89,
1411761,1411761-1,G,,A,8,0.0,,,,16.00,,1.68,20.91,
1411761,1411761-1,G,,A,13,0.0,,,,16.00,,1.68,20.49,
1411761,1411761-1,G,,A,16,11.0,,,,16.00,,1.61,19.52,
1411761,1411761-1,G,,A,18,11.0,,,,16.00,,1.78,20.77,
1411761,1411761-1,G,,A,20,5.0,,,,16.00,,3.48,20.86,
1411761,1411761-1,G,,A,22,19.0,,,,16.00,,3.33,20.91,
1411761,1411761-1,G,,A,24,23.0,,,,16.00,,3.66,20.85,
1411761,1411761-1,G,,A,26,15.0,,,,16.00,,2.25,20.63,
1411761,1411761-1,G,,A,28,19.0,,,,16.00,,2.24,20.74,
1411878,1411878-1,G,,A,0,0.0,,,,16.00,,1.07,10.36,
1411878,1411878-1,G,,A,6,20.0,,,,16.00,,1.07,7.37,
1411878,1411878-1,G,,A,8,28.0,,,,16.00,,1.25,9.57,
1411878,1411878-1,G,,A,13,24.0,,,,16.00,,1.32,9.04,
1411909,1411909-1,D,,C,0,0.0,,N,,8.50,,0.73,16.00,
1411909,1411909-1,D,,C,20,6.0,,N,,8.50,,0.79,16.24,0.44
1411909,1411909-1,D,,C,22,3.0,,N,,8.50,,0.86,15.60,0.58
1411909,1411909-1,D,,C,24,5.0,,N,,8.50,,0.77,15.45,0.63
1411909,1411909-1,D,,C,26,6.0,,N,,8.50,,0.80,17.71,0.92
1411933,1411933-1,H,A,C,0,0.0,,,,8.50,,,,
1411933,1411933-1,H,A,C,4,9.0,,,,8.50,,1.33,3.56,0.37
1411933,1411933-1,H,A,C,8,4.0,,,,8.50,,1.57,6.56,0.52
1411933,1411933-1,H,A,C,12,2.0,,,,8.50,,1.46,7.54,0.60
1411933,1411933-1,H,A,C,16,15.0,,,,8.50,,1.43,4.85,0.70
1411933,1411933-1,H,A,C,18,19.0,,,,8.50,,1.77,7.60,0.83
1411933,1411933-1,H,A,C,20,18.0,,,,8.50,,1.41,5.99,0.91
1411933,1411933-1,H,A,C,22,14.0,,,,8.50,,1.46,5.82,0.91
1411933,1411933-1,H,A,C,24,13.0,,,,8.50,,1.54,7.82,0.97
1411933,1411933-1,H,A,C,26,14.0,,,,8.50,,1.50,8.56,0.99
1411999,1411999-1,E,C,C,0,0.0,Warm Climate,N,N,9.00,Y,,,
1411999,1411999-1,E,C,C,8,10.0,Warm Climate,N,N,9.00,Y,1.56,20.99,0.81
1411999,1411999-1,E,C,C,10,9.0,Warm Climate,N,N,9.00,Y,1.45,20.85,0.84
1411999,1411999-1,E,C,C,12,1.0,Warm Climate,N,N,9.00,Y,1.72,20.83,0.99
1411999,1411999-1,E,C,C,14,4.0,Warm Climate,N,N,9.00,Y,1.78,20.78,1.00
1411999,1411999-1,E,C,C,16,0.0,Warm Climate,N,N,9.00,Y,1.71,20.72,1.00
1411999,1411999-1,E,C,C,18,17.0,Warm Climate,N,N,9.00,Y,1.80,20.80,1.00
1411999,1411999-1,E,C,C,20,1.0,Warm Climate,N,N,9.00,Y,1.79,20.74,1.00
1411999,1411999-1,E,C,C,22,4.7,Warm Climate,N,N,9.00,Y,1.83,20.73,1.00
1411999,1411999-1,E,C,C,24,2.3,Warm Climate,N,N,9.00,Y,1.79,20.80,0.99
1411999,1411999-1,E,C,C,26,0.0,Warm Climate,N,N,9.00,Y,1.90,20.61,1.00
1412001,1412001-1,E,C,C,0,0.0,Warm Climate,N,N,14.40,Y,,,
1412001,1412001-1,E,C,C,8,0.0,Warm Climate,N,N,14.40,Y,1.74,21.03,0.80
1412001,1412001-1,E,C,C,10,0.0,Warm Climate,N,N,14.40,Y,1.59,20.87,0.90
1412001,1412001-1,E,C,C,12,0.0,Warm Climate,N,N,14.40,Y,1.83,20.75,0.99
1412001,1412001-1,E,C,C,14,3.0,Warm Climate,N,N,14.40,Y,1.99,20.64,1.00
1412001,1412001-1,E,C,C,16,19.0,Warm Climate,N,N,14.40,Y,1.74,20.62,0.89
1412001,1412001-1,E,C,C,18,6.0,Warm Climate,N,N,14.40,Y,1.88,20.72,0.91
1412001,1412001-1,E,C,C,20,18.0,Warm Climate,N,N,14.40,Y,1.73,20.54,0.90
1412001,1412001-1,E,C,C,22,17.4,Warm Climate,N,N,14.40,Y,1.83,20.68,0.98
1412001,1412001-1,E,C,C,24,19.1,Warm Climate,N,N,14.40,Y,1.90,20.75,0.96
1412001,1412001-1,E,C,C,26,2.5,Warm Climate,N,N,14.40,Y,2.10,20.71,0.99
1412003,1412003-1,E,C,C,0,0.0,Warm Climate,N,N,14.40,Y,,,
1412003,1412003-1,E,C,C,8,0.0,Warm Climate,N,N,14.40,Y,1.52,21.04,0.85
1412003,1412003-1,E,C,C,10,3.0,Warm Climate,N,N,14.40,Y,1.61,20.77,1.00
1412003,1412003-1,E,C,C,12,10.0,Warm Climate,N,N,14.40,Y,1.83,20.61,1.00
1412003,1412003-1,E,C,C,14,6.0,Warm Climate,N,N,14.40,Y,1.81,20.68,1.00
1412003,1412003-1,E,C,C,16,6.0,Warm Climate,N,N,14.40,Y,1.80,20.57,1.00
1412003,1412003-1,E,C,C,18,13.0,Warm Climate,N,N,14.40,Y,1.69,20.34,1.00
1412003,1412003-1,E,C,C,20,0.0,Warm Climate,N,N,14.40,Y,1.88,20.59,1.00
1412003,1412003-1,E,C,C,22,2.1,Warm Climate,N,N,14.40,Y,1.97,20.63,1.00
1412003,1412003-1,E,C,C,24,12.7,Warm Climate,N,N,14.40,Y,1.82,20.65,1.00
1412003,1412003-1,E,C,C,26,10.5,Warm Climate,N,N,14.40,Y,2.24,20.76,0.99
1412034,1412034-1,E,C,C,0,0.0,Warm Climate,N,N,14.40,Y,,,
1412034,1412034-1,E,C,C,8,6.0,Warm Climate,N,N,14.40,Y,1.71,21.04,0.73
1412034,1412034-1,E,C,C,10,4.0,Warm Climate,N,N,14.40,Y,1.88,20.77,0.96
1412034,1412034-1,E,C,C,12,1.0,Warm Climate,N,N,14.40,Y,1.77,20.69,0.95
1412034,1412034-1,E,C,C,14,7.0,Warm Climate,N,N,14.40,Y,1.83,44.33,0.96
1412034,1412034-1,E,C,C,16,0.0,Warm Climate,N,N,14.40,Y,1.83,20.57,1.00
1412034,1412034-1,E,C,C,18,0.0,Warm Climate,N,N,14.40,Y,1.86,20.64,1.00
1412034,1412034-1,E,C,C,20,0.0,Warm Climate,N,N,14.40,Y,1.94,20.47,1.00
1412048,1412048-1,E,C,C,0,0.0,,,,16.00,,,,
1412048,1412048-1,E,C,C,8,11.0,,,,16.00,,,,
1412048,1412048-1,E,C,C,10,0.0,,,,16.00,,,,
1412048,1412048-1,E,C,C,12,4.0,,,,16.00,,,,
1512098,1512098-1,F,D,C,0,0.0,High Temperature and Humidity,N,N,18.00,N,2.72,20.91,1.00
1512098,1512098-1,F,D,C,7,14.4,High Temperature and Humidity,N,N,18.00,N,3.00,20.84,1.00
1512098,1512098-1,F,D,C,9,13.1,High Temperature and Humidity,N,N,18.00,N,3.07,20.82,1.00
1512098,1512098-1,F,D,C,11,9.0,High Temperature and Humidity,N,N,18.00,N,3.08,20.80,1.00
1512098,1512098-1,F,D,C,13,12.4,High Temperature and Humidity,N,N,18.00,N,3.16,20.78,1.00
1512098,1512098-1,F,D,C,15,7.4,High Temperature and Humidity,N,N,18.00,N,3.08,20.76,1.00
1512098,1512098-1,F,D,C,17,18.7,High Temperature and Humidity,N,N,18.00,N,2.99,20.41,1.00
1512098,1512098-1,F,D,C,19,17.9,High Temperature and Humidity,N,N,18.00,N,3.24,20.68,1.00
1512098,1512098-1,F,D,C,20,14.1,High Temperature and Humidity,N,N,18.00,N,3.07,20.84,1.00
1512098,1512098-1,F,D,C,22,16.5,High Temperature and Humidity,N,N,18.00,N,2.99,20.80,1.00
1512098,1512098-1,F,D,C,24,12.0,High Temperature and Humidity,N,N,18.00,N,3.09,20.88,1.00
1512098,1512098-1,F,D,C,26,16.9,High Temperature and Humidity,N,N,18.00,N,3.06,20.73,1.00
1512111,1512111-1,E,C,C,0,0.0,,,,16.00,,,,
1512111,1512111-1,E,C,C,14,7.0,,,,16.00,,1.38,5.86,0.11
1512111,1512111-1,E,C,C,16,20.0,,,,16.00,,1.46,8.14,0.28
1512111,1512111-1,E,C,C,18,5.0,,,,16.00,,1.44,5.61,0.10
1512111,1512111-1,E,C,C,20,20.0,,,,16.00,,1.47,13.14,0.41
1512111,1512111-1,E,C,C,22,20.0,,,,16.00,,1.47,7.71,0.24
1512111,1512111-1,E,C,C,24,6.0,,,,16.00,,1.41,12.37,0.26
1512161,1512161-1,B,,A,0,0.0,,,,16.00,,,,
1512161,1512161-1,B,,A,22,10.0,,,,16.00,,,,
1512161,1512161-2,B,,A,0,0.0,,,,16.00,,,,
1512161,1512161-2,B,,A,22,11.0,,,,16.00,,2.59,,0.55
1512161,1512161-2,B,,A,24,13.0,,,,16.00,,2.84,,0.60
1512161,1512161-2,B,,A,26,20.0,,,,16.00,,,,
1512161,1512161-3,B,,A,0,0.0,,,,16.00,,1.50,,0.79
1512161,1512161-3,B,,A,22,15.0,,,,16.00,,,,
1512161,1512161-4,B,,A,0,0.0,,,,16.00,,,,
1512161,1512161-4,B,,A,22,17.0,,,,16.00,,2.42,,1.00
1512161,1512161-4,B,,A,24,15.0,,,,16.00,,2.66,,1.00
1512161,1512161-4,B,,A,26,7.0,,,,16.00,,2.74,,1.00
1512296,1512296-1,G,,A,0,0.0,Cold Climate,Y,,16.00,,1.06,1.34,
1512296,1512296-1,G,,A,6,12.4,Cold Climate,Y,,16.00,,0.61,12.75,
1512296,1512296-1,G,,A,8,4.4,Cold Climate,Y,,16.00,,0.61,12.63,
1512296,1512296-1,G,,A,13,9.4,Cold Climate,Y,,16.00,,0.65,15.14,
1512296,1512296-1,G,,A,16,7.3,Cold Climate,Y,,16.00,,0.67,13.46,
1512296,1512296-1,G,,A,18,14.0,Cold Climate,Y,,16.00,,0.67,16.08,
1512296,1512296-1,G,,A,20,16.7,Cold Climate,Y,,16.00,,0.70,12.75,
1512296,1512296-1,G,,A,22,34.0,Cold Climate,Y,,16.00,,0.70,18.58,
1512296,1512296-1,G,,A,26,30.0,Cold Climate,Y,,16.00,,0.76,18.36,
1512296,1512296-1,G,,A,28,16.1,Cold Climate,Y,,16.00,,0.79,18.24,
1512305,1512305-1,D,,C,0,0.0,High Temperature and Humidity,,,20.00,,,,
1512305,1512305-1,D,,C,16,7.0,High Temperature and Humidity,,,20.00,,,,
1512305,1512305-1,D,,C,18,6.0,High Temperature and Humidity,,,20.00,,,,
1512305,1512305-1,D,,C,20,2.0,High Temperature and Humidity,,,20.00,,,,
1512305,1512305-2,H,,C,0,0.0,High Temperature and Humidity,,,20.00,,,,
1512305,1512305-2,H,,C,16,8.0,High Temperature and Humidity,,,20.00,,,,
1512305,1512305-2,H,,C,18,18.0,High Temperature and Humidity,,,20.00,,,,
1512305,1512305-2,H,,C,20,12.0,High Temperature and Humidity,,,20.00,,,,
1512421,1512421-1,F,E,C,0,0.0,High Temperature and Humidity,N,N,18.00,N,1.86,20.93,
1512421,1512421-1,F,E,C,5,0.0,High Temperature and Humidity,N,N,18.00,N,1.99,20.54,0.41
1512421,1512421-1,F,E,C,10,3.5,High Temperature and Humidity,N,N,18.00,N,2.10,21.02,0.42
1512421,1512421-1,F,E,C,13,9.6,High Temperature and Humidity,N,N,18.00,N,2.00,20.97,0.46
1512534,1512534-1,B,,A,0,0.0,Cold Climate,N,,16.00,,,,
1512534,1512534-1,B,,A,12,0.0,Cold Climate,N,,16.00,,3.55,,0.53
1512534,1512534-1,B,,A,22,27.6,Cold Climate,N,,16.00,,,,
1512534,1512534-2,B,,A,0,0.0,Cold Climate,N,,16.00,,,,
1512534,1512534-2,B,,A,16,22.7,Cold Climate,N,,16.00,,,,
1512534,1512534-2,B,,A,22,21.9,Cold Climate,N,,16.00,,3.72,,0.58
1512534,1512534-2,B,,A,24,30.9,Cold Climate,N,,16.00,,4.02,,0.58
1512534,1512534-2,B,,A,26,31.6,Cold Climate,N,,16.00,,4.19,,0.70
1512578,1512578-1,C,E,B,0,0.0,Cold Climate,N,,16.20,,1.94,20.68,
1512578,1512578-1,C,E,B,10,24.3,Cold Climate,N,,16.20,,2.09,20.34,1.00
1512578,1512578-1,C,E,B,12,18.8,Cold Climate,N,,16.20,,2.31,20.83,1.00
1512578,1512578-1,C,E,B,14,18.6,Cold Climate,N,,16.20,,2.25,20.80,1.00
1512578,1512578-1,C,E,B,16,23.8,Cold Climate,N,,16.20,,2.36,20.85,1.00
1512578,1512578-1,C,E,B,18,20.8,Cold Climate,N,,16.20,,2.27,20.80,1.00
1512578,1512578-1,C,E,B,20,18.7,Cold Climate,N,,16.20,,2.38,20.81,1.00
1512598,1512598-1,F,F,C,0,0.0,Cold Climate,N,,16.20,,1.19,20.91,
1512598,1512598-1,F,F,C,10,5.0,Cold Climate,N,,16.20,,1.37,20.79,0.21
1512598,1512598-1,F,F,C,12,3.9,Cold Climate,N,,16.20,,1.41,20.79,0.21
1512598,1512598-1,F,F,C,14,2.5,Cold Climate,N,,16.20,,1.55,20.69,0.25
1512598,1512598-1,F,F,C,16,2.6,Cold Climate,N,,16.20,,1.60,20.76,0.23
1512598,1512598-1,F,F,C,18,10.0,Cold Climate,N,,16.20,,1.54,20.64,0.29
1512627,1512627-1-Southern,D,,C,0,0.0,Warm Climate,Y,,18.00,,3.16,21.00,0.52
1512627,1512627-1-Southern,D,,C,12,0.0,Warm Climate,Y,,18.00,,20.82,,0.62
1512627,1512627-1-Southern,D,,C,16,0.0,Warm Climate,Y,,18.00,,20.78,,
1512627,1512627-1-Southern,D,,C,20,6.0,Warm Climate,Y,,18.00,,20.73,,
1512627,1512627-1-Southern,D,,C,22,6.0,Warm Climate,Y,,18.00,,20.79,,
1512627,1512627-1-Southern,D,,C,24,0.0,Warm Climate,Y,,18.00,,20.79,,
1512627,1512627-1-Southern,D,,C,26,6.0,Warm Climate,Y,,18.00,,20.98,,
1512637,1512637-1,B,,A,0,0.0,Cold Climate,N,,9.00,,,,
1512637,1512637-1,B,,A,16,17.0,Cold Climate,N,,9.00,,,,
1512637,1512637-1,B,,A,20,7.0,Cold Climate,N,,9.00,,,,
1512637,1512637-1,B,,A,22,13.0,Cold Climate,N,,9.00,,,,
1512637,1512637-1,B,,A,24,15.0,Cold Climate,N,,9.00,,,,
1512637,1512637-1,B,,A,26,21.0,Cold Climate,N,,9.00,,,,
1512637,1512637-2,B,,A,0,0.0,Cold Climate,N,,9.00,,,,
1512637,1512637-2,B,,A,16,16.8,Cold Climate,N,,9.00,,,,
1512637,1512637-2,B,,A,20,7.1,Cold Climate,N,,9.00,,,,
1512637,1512637-2,B,,A,22,13.2,Cold Climate,N,,9.00,,,,
1512654,1512654-1,C,A,B,0,0.0,Warm Climate,Y,,16.00,,,,
1512654,1512654-1,C,A,B,22,0.0,Warm Climate,Y,,16.00,,,,
1512654,1512654-1,C,A,B,24,0.0,Warm Climate,Y,,16.00,,,,
1512654,1512654-1,C,A,B,26,0.0,Warm Climate,Y,,16.00,,,,
1512712,1512712-1,F,A,C,0,0.0,High Temperature and Humidity,N,N,18.00,N,,,
1512712,1512712-1,F,A,C,29,3.0,High Temperature and Humidity,N,N,18.00,N,1.53,,
1512712,1512712-1,F,A,C,33,3.0,High Temperature and Humidity,N,N,18.00,N,,,
1512884,1512884-1,E,C,C,0,0.0,Warm Climate,N,,9.00,Y,,,
1512884,1512884-1,E,C,C,8,28.2,Warm Climate,N,,9.00,Y,1.82,20.43,1.00
1512884,1512884-1,E,C,C,10,33.1,Warm Climate,N,,9.00,Y,2.14,20.55,0.97
1512884,1512884-1,E,C,C,12,32.1,Warm Climate,N,,9.00,Y,2.46,20.47,0.90
1512884,1512884-1,E,C,C,14,29.6,Warm Climate,N,,9.00,Y,,,
1512884,1512884-2,E,C,C,0,0.0,Warm Climate,Y,,9.00,Y,,,
1512884,1512884-2,E,C,C,8,15.9,Warm Climate,Y,,9.00,Y,2.29,11.80,0.25
1512884,1512884-2,E,C,C,10,6.3,Warm Climate,Y,,9.00,Y,1.76,13.55,0.40
